User,The Elder Scrolls V Skyrim,Fallout New Vegas,Left 4 Dead 2,Team Fortress 2,Dota 2,Robocraft,Garry's Mod,Sid Meier's Civilization V,Counter-Strike Global Offensive,Grand Theft Auto V,Portal 2,Half-Life 2,Portal,Borderlands 2,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Modern Warfare 2,Counter-Strike Source,Unturned,Alien Swarm,War Thunder,Counter-Strike,PAYDAY 2,Heroes & Generals,Terraria,Warframe
201069271,,,,,4.8,,,,,,,,,,,,,,,,,,,,
48845802,,,,,,,,,,,,,,,,,,,,,211.0,,,,
226212066,,,,3.6,,,10.8,,94.0,,,,,,,,,15.0,,,,6.7,0.2,,
221430493,,,,,5.3,,,,,,,,,,,,,,,,,,,,
62923086,,,,,,,,,,,,,,,,,,,,,91.0,,,,
250006052,465.0,,,,,,,,,,,,,,,,,,,,,,,,
65117175,,,,1.3,,,,,,,11.3,,9.1,,,,,,,,,,,,
227944885,,,,,62.0,,,,,,,,,,,,,,,,,,,,
144004384,,,,,22.0,,,,,,,,,,,,,,,,,,,,
236557903,,,,2.0,,,,,,,,,,,,,,,,,,,,,
11373749,220.0,0.3,270.0,762.0,2.2,,1.3,,5.5,61.0,22.0,18.1,4.4,,7.7,11.0,0.4,0.8,2.7,,,,,84.0,
140293612,,,,,278.0,,,,,,,,,,,,,,,,,,,,
187851224,,,,,240.0,,,,,,,,,,,,,,,,,,,,
192921532,,,,,6.9,,,,,,,,,,,,,1.2,,,,,,,
54103616,35.0,,15.8,72.0,3.1,,,,1028.0,,7.3,,,21.0,,,32.0,,1.9,,1008.0,,,1.7,
222277839,,,,,86.0,,,,,,,,,,,,,,,,,,,,
298547051,,,,3.3,0.3,,,,,,,,,,,,,,,,,,,,
264253640,,,,,142.0,,,,,,,,,,,,,,,,,,,,4.2
125718844,,,,,1.1,,,,,,,,,,,,,,,,,,,,
230599183,,,,,2.3,,,,,,,,,,,,,,,,,,,,
38763767,,,,,,,,,,,,,,,,,,,,,0.8,,,,
164543231,,,,30.0,0.4,5.6,105.0,,7.4,,,,,,,,,14.9,,,,,2.0,,
163617342,,,,,891.0,,,,853.0,,,,,,,,,,,,,,3.3,,
295931968,,,,6.6,,,,,,,,,,,,,,,,,,,,,
165034415,,,,,3.6,,,,,,,,,,,,,,,,,,,,
298389371,,,,,,,,,231.0,,,,,,,,,,,,,,,,
126640783,,,,,9.9,,,,,,,,,,,,,,,,,,,,
119410870,,,,4.5,,,,,,,,,,,,,,,,,,,,,
243440565,,,,,0.5,,,,,,,,,,,,,,,,,,,,
157694162,,,,,2.0,,,,,,,,,,,,,,,,,,,,
263856756,,,,,,,,,,499.0,,,,,,,,,,,,,,,
124395695,,,,29.0,,,,,,,,,,,,,,,,,,,,,
126656629,,,,,2.4,,,,,,,,,,,,,,,,,,,,
197821092,,,,,1.5,,,,,,,,,,,,,,,,,,,,
294797577,,,,,10.1,,,,,,,,,,,,,,,,,,,,
228507886,,,,,6.5,,,,,,,,,,,,,,,,,,,,
49769103,,,1.4,,,,,,,,,,,,153.0,26.0,63.0,,,,,,,,
239397807,,,,,0.4,,,,,,,,,,,,,,,,,,,,
300601393,,,,,,,,,13.4,,,,,,,,,,,,,,,,
109278470,,,,0.5,,,,,75.0,,,,,,,,,,,,,,,,
197509386,,,,,550.0,,,,,,,,,,,,,,,,,,,,
92842632,,,,27.0,,,,,,,,,,,,,,,,,,,,,
5270060,,,,0.9,,,,,,,,,,,,,12.2,,,,0.1,,,,
171847029,,,,1.0,,0.5,,,639.0,33.0,,,,,,,,,,30.0,,65.0,70.0,,
111479516,,,,,865.0,,,,,,,,,,,,,,,,,,,,
64350600,,,8.6,,2.4,,,,,,,,,,,,,10.7,,,271.0,,16.7,,
117217039,,,,,60.0,,,,,,,,,,,,,,,,,,,,
180331040,,,,,1256.0,,,,,,,,,,,,,,,,,,,,
150103338,,,,,1.9,,,,,,,,,,,,,,,,,,,,
151229648,,,2.7,,,,,,,,,,,,,,,,,,,,0.9,,
253773352,,,,,,,,,,,,,,,,,,0.3,,,,,,,
250870371,,,,,0.3,,,,,,,,,,,,,,,,,,,,
175143479,,,,,1.9,,,,,,,,,,,,,,,,,,,,
56038151,14.6,,0.5,,,,,72.0,,,0.8,,,21.0,,,,,,,,,,,
124884511,,,,,1447.0,,,,,,,,,,,,,0.3,,,,,,,
148928721,,,,1.0,2594.0,,,,51.0,,,,,,,,,,,0.4,,,,,
150965343,,,,,5.3,,,,,,,,,,,,,,,,,,,,
46759859,,,,,,,,,,,,,,,,,,,,,316.0,,,,
268158408,,,,,,,,,,,,,,,,,,5.7,,,,,,,
257377008,,,,,,,,,27.0,,,,,,,,,,,,,,,,
133262375,,,,,290.0,,,,,,,,,,,,,,,,,,,,
202092286,,,,,,,7.6,,,,,,,,,,,,,,,,,,
136554467,,,,,101.0,,,,63.0,,,,,,,,,,,,,,,,
287943546,,,,1.9,,,,,,,,,,,,,,,,,,,,,
136246724,,,,,0.2,,,,,,,,,,,,,,,,,,,,
189191657,,,,18.3,,133.0,,,,,,,,,,,,21.0,,,,,4.4,,
57234698,,,,,2.6,,,,,,,,,,,,,,,,,,,,
55446861,,,,,,,,,,,,,,,,,22.0,,,,,,,,
2428602,,,,,473.0,,,,,,,,,,,,,,,,1.4,,,,
164927653,,,,,0.2,,,,,,,,,,,,,,,,,,,,
9544834,,,,,,,,,,,,,,,,,,,,,101.0,,,,
32592631,,,,,,,,,,,,,,,110.0,16.0,,,,,,,,,
57103808,,,,1.8,,9.5,11.5,35.0,4.9,,,5.2,1.9,,,,13.2,,,36.0,,,19.4,59.0,
215578265,,,,,1.2,,,,,,,,,,,,,,,,,,,,
197172884,,,,,,,,,,,,,,,,,,0.4,,,,,,,
242349023,,,,,56.0,,,,,,,,,,,,,,,,,,,,
99609673,,,,1.0,,,,,,,,,,,,,,,,,,,,,
63276972,,,3.6,,,,,79.0,,,,3.4,0.2,,,,,,,,,,,,
183005527,,,,,6.4,,,,,,,,,,,,,,,,,,,,
84668956,,,,2.4,,,,,,,,,,,,,,,,,,,,,
145904806,,,,1.4,,,,,,,,,,,,,,,,,,,,,
164591420,,,,2.6,,,,,,,,,,,,,,,,,,,,,
171982044,,,,,1.6,,,,,,,,,,,,,,,,,,,,
94088853,320.0,,,,15.6,,,253.0,,,8.1,,,25.0,,,,16.8,,,,,,11.2,
48058475,,,,,,,,,,,,,5.3,,,,543.0,,18.8,,,,,,
170095814,,,,,7.0,1.6,,,,,,,,,,,,,,60.0,,,,,
212751581,,,,,,,,,432.0,,,,,,,,,0.6,,,,,,,
301883131,,,,,0.3,,,,,,,,,,,,,,,,,,,,
116085629,80.0,,,,,,,,,,,,,,,,,,,,,,,,
202395275,,,,,4.3,,,,,,,,,,,,,,,,,,,,
248444377,,,,,,,213.0,,60.0,,,,,,,,,,,,,,,,
25941262,,,,,,,,,,,,,,,,,89.0,,,,0.8,,,,
148510973,73.0,,2.4,75.0,,,,,488.0,,0.6,,,,,,,6.0,,,,,,0.3,
64369759,,,,,19.6,,,,,,1.9,,3.2,9.4,,,,,,,,,,,
289893544,,,,,4.8,,,,,,,,,,,,,,,,,,,,
223471406,,,,,2.7,,,,,,,,,,,,,,,,,,,,
210778610,,,,,5.7,,,,,,,,,,,,,,,,,,,,
173857208,,,,,0.6,,,,,,,,,,,,,,,,,,,,
9823354,143.0,1.4,2.7,12.6,,,,153.0,,,16.9,24.0,8.2,2.2,,,7.9,,1.1,,2.2,0.9,,,
165269326,,,,,26.0,,,,,,,,,,,,,,,,,,,,
226033921,,,,,1.8,,,,,86.0,,,,,,,,,,,,,,,
232064401,,,,,4.5,,,,,,,,,,,,,,,,,,,,
141593973,,,,,423.0,,,,,,,,,,,,,,,,,,,,
174965596,,,,,6.6,,,,,,,,,,,,,,,,,,,,
100519466,3.5,,,36.0,,73.0,188.0,,,,15.0,,,15.6,,,,,,1.6,,30.0,,,6.6
107886872,,,27.0,,,,,,,,,,,,,,,,,,,,,,
153415214,,,,,0.2,,,,,,,,,,,,,,,,,,,,
180789959,5.0,,,3.5,,,,,,,,,,14.8,,,,,,,,,,,
236541446,,,,,0.2,,,,,,,,,,,,,,,,,,,,
155997063,,,,3.0,,,,,,,,,,,,,,,,,,,,,
168031436,14.1,60.0,,,,,4.8,,,,,,,,,,,,,,,,,,
169358223,,,,407.0,,,,,,,,,,,,,,,,,,,,,
162543176,,,,11.5,,,20.0,,21.0,,,,,2.0,,,,,,,,,,,
95898619,,,,,,,,,227.0,,,,,,,,396.0,,,,2.4,,,,
185685666,,,,,,0.2,,,,,,,,,,,,0.6,,,,,,,
308280913,,,,,2.3,,,,,,,,,,,,,,,,,,,,
215492239,,,,,,,,,,,,,,,,,,6.2,,,,,,,
16167221,,,,2.1,,,,,,,,13.0,1.9,,,,,,,,35.0,,,,1.3
19586574,,,6.9,,3.3,,12.2,,11.4,,25.0,,,,,,,,,,38.0,,,,
200759485,,,,,0.4,,,,,,,,,,,,,,,,5.1,,,,
153290864,,,,0.8,,,,,,,,,,,,,,,,,,,,,
219446813,,,,,210.0,,,,,,,,,,,,,,,,,,,,
41883322,107.0,,,,,,,,,,,,,,,,,,,,,,,,
260269555,,,,,3.2,,,,,,,,,,,,,,,,,,,,
186333740,,,,,6.6,,,,,,,,,,,,,,,,,,,,
142004534,,,,,94.0,,,,,,,,,,,,,,,,,,,,
170491009,48.0,,,197.0,,4.2,55.0,,,,,,,31.0,,,,,,,,,,286.0,14.1
30280104,,,,,1.5,,,,,,,,,,,,3.3,,,,,,,,
227153589,,,,,1.2,,,,,,,,,,,,,,,,,,,,
64365339,,,,,,,,,,,,,14.0,,80.0,24.0,,,,,,,,,
103669953,,,,,,,,,,,4.7,,,,,,,,,,,,,,
237275985,,,,,,,,,46.0,,,,,,,,,,,,,,,,
178709401,,,,,200.0,,,,,,,,,,,,,,,,,,,,
198156213,,,,,17.0,,,,,,,,,,,,,,,,,,,,
190231757,18.0,,,,,,,,,,,,,,,,,,,,,,,,
212284721,,,,,0.9,,,,,,,,,,,,,,,,,,,,
20321898,,,,,,,,,,,,,,,,,1.0,,,,,,,,
48239695,,98.0,,,,,,312.0,,,,22.0,0.2,,,,,,,,,,,,
201512283,,,,,0.4,,,,,,,,,,,,,,,,,,,,
131227694,,,,,2.0,,,,90.0,,,,,29.0,,,,,,,,,,,
201697182,,,,,,,,,76.0,,,,,,,,,,,,,,,,
150751526,,,,5.0,374.0,3.9,46.0,,53.0,,1.6,,,,,,,46.0,5.0,7.5,,,7.6,,17.2
241208825,,,,,331.0,,,,,,,,,,,,,,,,,,,,
249165768,,,,,59.0,,,,622.0,,,,,,,,2.9,,,,,,,,
239478937,,,,,,,,,,,,,,,,,,0.6,,,,,,,
83851086,,,,0.8,,,,,,,,,,,,,,,,,,,,,
145658798,,,,,1.7,,,,,,,,,,,,,,,,,,,,
210669058,,,,,1.4,,,,,,,,,,,,,,,,,,,,
130280718,,,,68.0,9.8,4.4,16.2,,16.5,,,,,,,,,7.1,,,,11.7,,,
81569401,,,,,,,,,,,,,,,,,,,,,891.0,,,,
186996848,,,,,2.8,,,,,,,,,,,,,,,,,,,,
287706524,,,,,0.1,,,,,,,,,,,,,,,,,,,,
65716118,22.0,,,,,,,,44.0,,,,,,427.0,16.0,107.0,,22.0,,,,,,
144004666,,,,,4.6,,,,,,,,,,,,,,,,,,,,
58237510,,,,,,,,,,,,,,,52.0,6.0,,,,,,,,,
113308351,,,,,,,,14.1,,,,,,,,,,,,,,,,,
303326013,,,,,,,29.0,,,,,,,,,,,,,,,,,,
154210162,,,,,780.0,,,,,,,,,,,,,,,,,,,,
146463817,,,,,12.2,,,,,,,,,,,,,,,,,,,,
303693006,,,,,6.9,,,,,,,,,,,,,,,,,,,,
98152188,643.0,,,,,,,,,,,,,,,,,,,,,,,,
231450817,,,,,9.9,,,,,,,,,,,,,,,,,,,,
162649407,403.0,,,,,,,,,,,,,,,,,,,,0.6,,,,
229467150,,,,,24.0,,,,,,,,,,,,,,,,,,,,
246892835,,,,0.3,,,,,,,,,,,,,,2.3,,,,,,,
288856904,,,,,1.8,,,,,,,,,,,,,,,,,,,,
36553207,,,,,,,,,,,,,,,,,956.0,,,,,,,,
143693450,,,,,2.9,,,,,,,,,,,,,,,,,,,,
139955299,,,,,91.0,,,,,,,,,,,,,,,,,,,,
136021775,,,,1.8,,,19.6,,15.9,,,,,,,,,,,,,,,,
39446138,,,,,,,,,,,19.1,,,,,,,,,,,,,,
211404615,,,,0.4,,,,,,,,,,,,,,,,,,,,,
215540943,,,6.3,1.0,,,,,18.0,,,,,1.3,,,,,,,,,,67.0,2.6
81743539,,,,4.7,,,,,,,,,1.6,,,,,,,,,,,,
128790593,46.0,,,2.1,1.3,,,,9.4,,,,,11.2,,,,,,,,,,,
198346312,,,,,,,,20.0,,,,,3.5,42.0,,,,,,,,0.8,,14.3,
155182551,,,,,4228.0,,,,,,,,,,,,,,,,,,,,
169218314,,,,,61.0,,,,,,,,,,,,,,,,,,,,
252016836,,,,,27.0,,,,,,,,,,,,,,,,,,,,
124777563,,,,2.1,,,,,,,,,,,,,,,,,,,,,
217268143,,,,,6.6,,,,,,,,,,,,,,,,,,,,
27117407,,,,5.0,,,,,8.2,,,,,,,,9.4,,,,,,,,
78332414,,,,,998.0,,,,0.4,,,,,,,,,,,,,,69.0,,
130201800,313.0,,,10.5,2.1,,,,,,,,,,,,,35.0,,,,,,,
88585138,,,,0.4,,,,,,,,,4.2,,,,,,,,,,,,
139352395,,,,,13.2,,,,,,,,,,,,,,,,,,,,
143459727,,,,0.6,310.0,19.4,,,,,,,,,,,,0.4,,,,,1.7,,157.0
201445671,,,,,,,,,5.2,,,,,,,,,,,,,,,,
24932641,,,,,,,,,,,,11.6,,,,,,,,,,,,,
193987636,,,,,,,,,,,,,,,,,,5.1,,,,,,,
209729995,,,,,1.2,,,,,,,,,,,,,,,,,,,,
71082079,33.0,,,,,,,,,,,,,,,,,,,,,,,,
212521878,,,,,0.7,,,,,,,,,,,,,,,,,,,,
166705920,,,,,697.0,,,,,,,,,,,,,,,,,,,,
228302915,,,,,1.7,,,,6.9,,,,,,,,,,,,,,,,
64315060,,,,,,,,,,,,,,,,,,,0.3,,,,,,
246056879,,,,,3.4,,,,,,,,,,,,,,,,,,,,
154406815,,,,,8.9,,,,,,,,,,,,,,,,,,,,
141037251,,,,,3.3,,,,,,,,,,,,,,,,,,,,
298979438,,,,,73.0,,,,,,,,,,,,,,,,,,,,
149318464,,,,,66.0,,,,,,,,,,,,,,,,,,,,
29835809,,,,,,,,,,,,,,,,,7.3,,,,,,,,
174813416,,,,,0.1,,,,,,,,,,,,,,,,,,,,
42928788,,,5.3,297.0,,,20.0,,3.0,,,,4.3,,,,,1.6,0.3,,,2.3,0.3,28.0,
298519243,,,,,0.4,,,,,,,,,,,,,,,,,,,,
25096601,82.0,16.1,0.6,2.1,128.0,,,93.0,12.2,,3.6,5.9,,,,,4.2,,,,,,,,
233160273,,,,,,,,,,,,,,,,,,,,,,,,129.0,
157397663,,,,,0.9,,,,,,,,,,,,,,,,,,,,
234024191,,,,,204.0,,,,,,12.5,,5.2,,,,,,,,,,,,
115003799,,,,,0.7,,,,,,,,,,,,,,,,,,,,
57866383,,,,0.4,,,,,,,,,,,,,,,,,,,,,
144347801,,,,156.0,,,70.0,,27.0,,,,,,,,,178.0,,,,,9.0,,
112590296,,,,,2.6,,,,,,,,,,,,,,,,,,,,
209193781,,,,1.1,,,,,,,,,,,,,,,,,,,,,
42061089,13.0,,24.0,0.7,,,,,,52.0,,37.0,,82.0,,,,,,,,,,,77.0
158267574,,,,,5.8,,,,,,,,,,,,,,,,,,,,
307239317,,,,,0.7,,,,,,,,,,,,,,,,,,,,
62654923,,,,,,,,,,,,,0.5,,2.6,100.0,,,,,,,,,
56256991,,,,,723.0,,,,0.4,,,,,,,,,,,,,,,,
86338111,,,29.0,1064.0,,,60.0,150.0,,,5.2,1.0,,,,,,19.1,,,,,,,
67923337,,,,,,,,,,,,,,,,,62.0,,,,,,,,
149501464,,,,,,,,,,,,,,,,,,,,,,,,48.0,
74232403,,,4.2,,62.0,,,,,,,,,,,,,,,,,,,,
305808638,,,,,81.0,,,,,,,,,,,,,,,,,,,,
83978676,,,,2.4,,,,,,,,,,,,,,,,,,,,,
300645203,,,,,2.9,,,,,,,,,,,,,,,,,,,,
211925330,,,,,290.0,,,,,,,,,,,,,,,,,,,,425.0
178717672,,,,,,,,,,,,,,,,,,,,,,17.1,,,
218354629,,,,,,,,,7.8,,,,,,,,75.0,,,,0.1,,,,
288854118,,,,,,,,,,,,,,,,,,0.7,,,,,,,
194791978,,,,,8.6,,,,,,,,,,,,,,,,,,,,
202949952,,,,,16.2,,,,,,,,,,,,,,,,,,,,
108877388,,,,,,,,,,,,,,,,,,,,,,61.0,,,
214366018,,,,,,,,108.0,,,,,,,,,,,,,,,,,
72576293,,,,,34.0,,,,,,,,,,,,,,,,,,,,
179686274,,,,,4.3,,,,,,,,,,,,,,,,,,,,
227083521,0.5,,,2.9,,,,,,,1.9,,,,,,,0.2,,,,,,,
236775073,,,,,,,,,,,,,,,,,,,,,,,,,0.8
286701848,,,,8.0,,,,,36.0,,,,,,,,,,,,,,,,
253983004,,,,,1.4,,,,,,,,,,,,,,,,,,,,
112994491,,,2.0,28.0,,,,,,,,44.0,,,,,,,,,0.1,,,,
85614332,,,,52.0,,,,,,,,,,,,,,,,,,,,,
124451578,,,,,10.5,,,,,,,,,,,,,,,,,,,,
111316830,,,,,1395.0,,1.8,,,,,,,,,,,1.8,,,,,,8.2,
185283602,,,,,0.8,,,,,,,,,,,,,,,,,,,,
92914917,,,15.3,4.1,3738.0,,2.4,1.4,303.0,,1.6,,,,,,16.3,,,,3.8,,,1.7,
135599605,,,,,0.5,,,,,,,,,,,,,,,,,,,,
147563118,,,,,879.0,,,,,,,,,,,,,,,,,,,,
138847348,,,,,1.5,,,,,,,,,,,,,,,,,,,,
77870593,,,,,,,,446.0,,,,,,,,,,,,,,,,,
161383225,,,,7.5,,,,,,,,,,,,,,,,,,,,,
60760816,110.0,,,,,,,,,,,,,,,,,,,,,,,,
253006481,,,,79.0,,,,,,,,,,,,,,,,,,,,,
72842694,142.0,3.1,3.3,3.3,0.7,,,,5.5,,,,1.3,99.0,,,,,,,,,,13.9,
290367158,,,,,,,,,1.8,,,,,,,,,,,,,,,,
17649444,,,,267.0,,,,,,,14.8,43.0,38.0,,,,,,,,,,,,
168041218,,,,,213.0,,,,,,,,,,,,,,,,,,,,
155881626,,,,,743.0,,,,152.0,,,,,,,,,,,,,,,,
23663429,,,,,,,,,,,,,,,,,,,,,1.3,,,,
201176964,,,,,1.9,,,,,,,,,,,,,,,,,,,,
179481154,,,,,0.9,,,,207.0,,,,,,,,,,,,,,,,
115396529,,,,,347.0,,,,,,,,,,,,,,,,,,,,
255957600,,,,,12.4,,,,,,,,,,,,,,,,,,,,
43804972,,,,,,,,259.0,,,,,,,,,,,,,,,,,
216115170,,,,,,,,,,,,,,,,,,0.5,,,,,,,
182579698,,,,,48.0,,,,,,,,,,,,,,,,,,,,
215008934,,,,,7.9,,,,,,,,,,,,,,,,,,,,
20200395,118.0,,19.0,276.0,13.0,,0.4,,2.9,,,1.4,0.4,35.0,,,7.5,,0.7,,,,,,26.0
32498610,,,20.0,43.0,1.7,,,,500.0,,,,,,,,1.7,,,,104.0,,,,0.4
292731142,,,,,,,,,22.0,,,,,,,,,,,,,,,,
221952355,,,,,23.0,,,,,,,,,,,,,,,,,,,,
4834220,58.0,,,10.9,474.0,,,,,,,,,427.0,175.0,35.0,7.6,,,,,,,,
189623540,,,,,,,,,,,,,,,,,,8.6,,,,,0.3,,
208071792,,,,,6.6,,,,,,,,,,,,,,,,,,,,
65229865,57.0,81.0,,,,,,33.0,,,,,2.0,,,,,,,,,,,,
146809006,,,,,387.0,,,,,,,,,,,,,,,,,,,,
240524467,,,,,184.0,,,,,,,,,,,,,,,,,,,,
183103599,,,,1.9,,,,,299.0,,,,,,,,,,,,,,,,
181064527,,,,,7.7,,,,,,,,,,,,,,,,,,,,
65958466,70.0,28.0,,31.0,131.0,,19.8,4.6,5.6,,,13.2,16.2,,,,,1.3,0.4,,,,,12.3,36.0
77905942,95.0,,,,,,,64.0,,,,,,,,,,,,,,,,,
181321171,,,,0.9,25.0,,,,,,,,,,,,,,,,,,,,
172348107,,,,,1.9,,,,,,,,,,,,,,,,,,,,
215748805,,,,,45.0,,,,,,,,,,,,,,,,,,,,
276055488,,,,,,,,,,,,,,,,,,0.1,,,,,,,
230952269,,,,,,,,,,,,,,,,,,0.1,,,,,1.9,,
248255491,,,,56.0,,,,,,,,,,,,,,,,,,,,,
165216297,,,,,3.6,,,,,,,,,,,,,,,,,,,,
234292025,,,,3.8,,,,,,,,,,,,,,,,,,,,,
226923581,,,,,,,,,557.0,,,,,,,,,,,,,,,,
134590374,,,,,173.0,,,,,,,,,,,,,,,,,,,,
43908860,,,,2.2,,,,,,,18.3,4.7,36.0,,155.0,40.0,,,,,,,,,
203238341,,,,,1.8,,,,,,,,,,,,,,,,,,,,
198249024,341.0,,,,,,,,,,,,,,,,,,,,,,,,
248518501,,,,,67.0,,,,,,,,,,,,,,,,,,,,
308692673,,,,,2.9,,,,,,,,,,,,,,,,,,,,
105796956,,,,88.0,,,,,,,,,,,,,,,,,,,,,
186055359,,,,,1.1,,,,,,,,,,,,,,,,,,,,
87821312,,,,,,,,,3.8,,,,,,,,,,,,1159.0,,,,
85714521,,,18.8,23.0,0.5,,,,1378.0,,,,,,,,,0.2,,,,57.0,,,
170375966,,,,,40.0,,,,,,,,,,,,,,,,,,,,
130950166,,,,,0.1,,,,,,,,,,,,,,,,,,,,
194545521,,,,,26.0,,,,,,,,,,,,,,,,,,,,
23718710,,,,,,,,,,,,,,,,,,,,,3.0,,,,
252696188,,,,,4.9,,,,,,,,,,,,,,,,,,,,
95440541,,,,5.8,,,,,,,,,,,,,,,,,,,,,
49767455,,,33.0,13.5,1.8,,,,1129.0,,,,,,270.0,0.7,1534.0,,0.2,,,43.0,2.3,94.0,
304222866,,,,,,,1.6,,,,,,,,,,,,,,,,,,
303269114,,,,,67.0,,,,,,,,,,,,,,,,,,,,
238411403,,,,,0.5,,,,,,,,,,,,,,,,,,,,
58117481,,,,,,,,,,,,,,,,,278.0,,,,,,,,
61676491,,,5.4,7.7,5.7,,,,122.0,,,,1.3,7.0,,,1097.0,,16.6,,,1.3,,8.6,170.0
223991842,,,,,1.3,,,,,,,,,,,,,,,,,,,,
166753156,,,,,,,,,,,,,,,,,,,,,,,,,1159.0
135879753,,,,,,,,,4659.0,,,19.3,,,,,,,,,0.6,,,,
176033341,,,,429.0,,,,,,,,,,,,,,,,,,,,,
171512034,,,,,55.0,,,,,,,,,,,,,,,,,,,,
267438860,,,,,0.6,,,,,,,,,,,,,,,,,,,,
68224834,4.8,,,0.2,,,,,19.6,,,,,15.9,,,0.2,,,,,,,,
110928152,,,,,9.2,,,,,,,,,,,,,,,,,,,,
157469247,,,1.5,16.7,,,80.0,,16.9,,,2.1,0.1,,,,1.2,,,,,,,,
80119032,,,,309.0,,,,,,,,,,,,,,,,,,,,,
128831281,,,,,1445.0,,,,,,,,,,,,,,,,,,,,
176743370,,,,0.2,3.7,,,,,,,,,,,,,,,,,,,,
122803519,,,17.5,0.6,,0.7,,,,,,,,,,,,146.0,,,,,1.6,,
187498422,,,,,6.8,,,,,,,,,,,,,,,,,,,,
34177747,5.8,128.0,307.0,1221.0,,,,,,,75.0,12.4,,189.0,,,,,,,,,,717.0,788.0
138929901,,,,,2.0,,,,,,,,,,,,,,,,,,,,
170760116,,,,,0.4,,,,,,,,,,,,,,,,,,,,
124712421,,,,,,,,,,,3.9,,11.9,,,,,,,,,,,,
187678142,,,,,1797.0,,,,,,,,,,,,,,,,,,,,
175033323,,,,258.0,239.0,,,,,,,,,,,,,,,,,,,,
58192081,,,,,,,,,,,,,,,,8.4,,,,,,,,,
175945017,,,,,1.7,,,,,,,,,,,,,,,,,,,,
44866715,12.6,,,,1.7,,21.0,,22.0,,,0.8,,,,,,,,,,27.0,,,4.7
176750719,,,,0.3,,,,,,,,,,,,,,,,,,,,,
86686260,,,,10.7,,,,,,,,,,,2.7,0.6,,,,,,,,0.9,
23883383,,,,0.1,,,,,,,,,,,,,304.0,,2.2,,,,,,
184794116,,,,,,,,,,,,,,,,,,,,,,,1.1,,
239794225,,,,,,16.9,,,,,,,,,,,,,,,,,,,
232207754,,,,,386.0,,,,,,,,,,,,,,,,,,,,
47519224,,,,,,,,,,,,,,,,,,,,,0.9,,,,
235194002,,,,,2.6,,,,,,,,,,,,,,,,,,,,
141677474,,,,,31.0,,,,,,,,,,,,,,,,,,,,
161816929,,,,,3.6,,,,,,,,,,,,,,,,,,,,
304848876,,,,,42.0,,,,,,,,,,,,,,,,,,,,
49350285,,,431.0,0.6,,,,,,,17.7,,10.1,,,,510.0,,,,,,,,
